step,feature_name,r2
0,log-prob-pcfg_mean,0.9999912666059267
0,rating_gram_mean,0.9999830483480995
0,rating_frequency_mean,0.9999798677925359
0,rating_conversational_mean,0.9999861646293392
0,dep_length_mean,0.999979823204191
0,avg_word_freq_zipf,0.9999960345914436
0,avg_word_length,0.9999916237961445
1,log-prob-pcfg_mean,0.921505573718284
1,rating_gram_mean,0.9935187447660692
1,rating_frequency_mean,0.9950435739840133
1,rating_conversational_mean,0.9994444498644622
1,dep_length_mean,0.998535653437205
1,avg_word_freq_zipf,0.9979621621950399
1,avg_word_length,0.9996398954839205
2,log-prob-pcfg_mean,0.9141562137632919
2,rating_gram_mean,0.8494562728021715
2,rating_frequency_mean,0.977597374018065
2,rating_conversational_mean,0.9865132452127238
2,dep_length_mean,0.9974493213246514
2,avg_word_freq_zipf,0.9978750520122027
2,avg_word_length,0.9996035110640044
3,log-prob-pcfg_mean,0.9138066779747002
3,rating_gram_mean,0.8116890938193666
3,rating_frequency_mean,0.867317831741786
3,rating_conversational_mean,0.9570445145539688
3,dep_length_mean,0.9963406282708347
3,avg_word_freq_zipf,0.9972038834312116
3,avg_word_length,0.9995808786298438
4,log-prob-pcfg_mean,0.9109646695002107
4,rating_gram_mean,0.8116413642883211
4,rating_frequency_mean,0.8074678596443705
4,rating_conversational_mean,0.8787435436357497
4,dep_length_mean,0.996340814654755
4,avg_word_freq_zipf,0.994059353945212
4,avg_word_length,0.9995608806968924
5,log-prob-pcfg_mean,0.9108975347285271
5,rating_gram_mean,0.8112865753759999
5,rating_frequency_mean,0.8074521040538425
5,rating_conversational_mean,0.8775627612020576
5,dep_length_mean,0.8075648396286927
5,avg_word_freq_zipf,0.9935333820826299
5,avg_word_length,0.9992170057637596
6,log-prob-pcfg_mean,0.9105937804065709
6,rating_gram_mean,0.8112975585366261
6,rating_frequency_mean,0.8036998446201726
6,rating_conversational_mean,0.8727302453996273
6,dep_length_mean,0.8067225722794672
6,avg_word_freq_zipf,0.9921695049274277
6,avg_word_length,0.9991094778118159
7,log-prob-pcfg_mean,0.9084855787571156
7,rating_gram_mean,0.8104749977263284
7,rating_frequency_mean,0.8003963917748427
7,rating_conversational_mean,0.867493537293652
7,dep_length_mean,0.8065299819805118
7,avg_word_freq_zipf,0.9444190921908517
7,avg_word_length,0.9553440031173748
8,log-prob-pcfg_mean,0.8497731669907965
8,rating_gram_mean,0.8100328697189232
8,rating_frequency_mean,0.7976055995275532
8,rating_conversational_mean,0.867461154356362
8,dep_length_mean,0.8061609098516613
8,avg_word_freq_zipf,0.9410653707613837
8,avg_word_length,0.95499122111058
9,log-prob-pcfg_mean,0.8480492538098401
9,rating_gram_mean,0.7024673446548007
9,rating_frequency_mean,0.7967092554056626
9,rating_conversational_mean,0.8525359748196819
9,dep_length_mean,0.8059275135452693
9,avg_word_freq_zipf,0.9410431198265773
9,avg_word_length,0.9549372329435656
10,log-prob-pcfg_mean,0.8479900916019233
10,rating_gram_mean,0.6978782892441981
10,rating_frequency_mean,0.7232218368333908
